processo,titular,uf,area_hectares,resumo_analise,possui_impacto_mencionado,num_fontes_consultadas,fontes_urls,data_analise,motor_busca,descobertas_relevantes
803237/2022,AVANT GEOTECNOLOGIAS E ENGENHARIA MINERAL LTDA,PI,212513.65397082779,,Não,0,,2025-07-09 15:04:27,Google Search API,"AVANT GEOTECNOLOGIAS E ENGENHARIA MINERAL LTDA, Minério de Ferro, 24,92, Autorização de Pesquisa. 803237/2022, AVANT GEOTECNOLOGIAS E ENGENHARIA MINERAL LTDA ... Oct 31, 2022 ... ... AVANT GEOTECNOLOG | AVANT GEOTECNOLOGIAS E ENGENHARIA MINERAL LTDA, Minério de Ferro, 24,92, Autorização de Pesquisa. 803237/2022, AVANT GEOTECNOLOGIAS E ENGENHARIA MINERAL LTDA ... AVANT GEOTECNOLOGIAS E ENGENHARIA MINE | 803237/2022, AVANT GEOTECNOLOGIAS E ENGENHARIA MINERAL LTDA, 155,68, Reconhecimento Geológico. Exportar para CSV. Desmatamento na Terra Indígena. Este tema ... 803237/2022, AVANT GEOTECNOLOGIAS E ENGE"
850232/2023,BRAVO MINERACAO LTDA,PA,167843.16070832624,,Não,0,,2025-07-09 15:04:27,Google Search API,"Dec 17, 2022 ... No ano de 2022, a Bravo Mineração Ltda iniciou um novo programa de ... RELATÓRIO DE IMPACTO AMBIENTAL - RIMA. 38. 38. Características Ambientais. Mar 31, 2024 ... O objetivo do projet | ... Bravo Mineração LTDA. A Bravo Mineração é uma empresa de mineração moderna, a qual participa da exploração principalmente dos metais acima citados. A ... 5 days ago ... VI - um representante da Se"
813684/1969,VALE S.A.,PA,99134.60795656734,,Não,1,http://www,2025-07-09 15:04:27,Google Search API,"Las operaciones globales de Vale S.A. generan conflictos sociales y ambientales ... impactos regionales y falta de integralidad en la evaluación ambiental. ... vale-sa. Para ver a resposta da Vale S.A | Jul 30, 2018 ... A companhia Vale S.A. se manifestou em uma linha: “A Vale ainda não ... Terra Indígena Kayapó, chegando perto da cidade de Conceição do Araguaia”. Jan 17, 2025 ... ... Vale S.A.. A de | Apr 30, 2025 ... Vale S.A. is responsible for serious human rights violations in Brazil ... Comunidades Tradicionais, destruição irreversível de aquíferos ... Jun 2, 2025 ... ... Vale S.A. em Brumadin"
605626/1976,Petróleo Brasileiro S/A PETROBRAS,SE,96444.39456372801,,Não,0,,2025-07-09 15:04:27,Google Search API,"A Petróleo Brasileiro S/A. Petrobras, empresa brasileira de capital aberto ... Terra Indígena Uerê – Comunidade de Matatibem. Expectativas dos indígenas em ... Jul 12, 2021 ... A criação do Complexo I | Nov 27, 2013 ... ... Impacto Ambiental - EIA e respectivo Relatório de Impacto Ambiental - RIMA ... PETRÓLEO BRASILEIRO S/A - PETROBRÁS, processo administrativo nº ... A Petróleo Brasileiro S/A. Petro | A Petróleo Brasileiro S/A. Petrobras, empresa brasileira de capital aberto, com 50 anos de atuação em todos os segmentos da indústria de petróleo, é ... Feb 24, 2025 ... A Petróleo Brasileiro S/A (Pet"
1662/1936,MINERACAO SERRA DO CABRAL LTDA.,MG,75590.80305943552,,Não,0,,2025-07-09 15:04:27,Google Search API,
800988/2023,MINAS POWER MINERACAO E TRANSPORTES LTDA,CE,50489.978341869384,,Não,0,,2025-07-09 15:04:27,Google Search API,"Oct 31, 2022 ... ... Terra Indígena Sararé, no Estado de Mato Grosso. 24/10/2022 ... MINAS POWER MINERACAO E TRANSPORTES LTDA, a pesquisar MINÉRIO DE ... Jun 19, 2024 ... ... indígena, no âmbito da Se | Oct 31, 2022 ... ... Ambiental do Ibama (Dipro) para autorizarem o uso de recursos das ... MINAS POWER MINERACAO E TRANSPORTES LTDA, a pesquisar MINÉRIO DE ..."
813682/1969,VALE S.A.,PA,30066.038172546578,,Não,1,http://www,2025-07-09 15:04:27,Google Search API,"Las operaciones globales de Vale S.A. generan conflictos sociales y ambientales ... impactos regionales y falta de integralidad en la evaluación ambiental. ... vale-sa. Para ver a resposta da Vale S.A | Jul 30, 2018 ... A companhia Vale S.A. se manifestou em uma linha: “A Vale ainda não ... Terra Indígena Kayapó, chegando perto da cidade de Conceição do Araguaia”. Jan 17, 2025 ... ... Vale S.A.. A de | Apr 30, 2025 ... Vale S.A. is responsible for serious human rights violations in Brazil ... Comunidades Tradicionais, destruição irreversível de aquíferos ... Jun 2, 2025 ... ... Vale S.A. em Brumadin"
815118/1994,NOVA PROSPERA MINERACAO SA,SC,26451.054284366415,,Não,0,,2025-07-09 15:04:27,Google Search API,"Redução do Impacto Ambiental. Coal Waste Processing and Environmental Impact ... Réu: Nova Próspera Mineração S.A. e outros. Recuperação dos passivos ... Redução do Impacto Ambiental. Coal Waste Proce | ... Terra, contaminação das pessoas e erosão da biodiversidade sem órgãos ... Nova Próspera Mineração S.A. e outras companhias de extração de carvão, bem ... Nov 8, 2012 ... ... Terra Indígena Rio Gre | que a comunidade global deve tratá-los de forma global, justa e ... Nova Próspera Mineração S.A. e outras companhias de extração de carvão, bem ... Nov 8, 2012 ... ... Comunidades ao longo do. Trecho "
2019/1939,MINERACAO MACEDO LTDA,GO,24653.13818667552,,Não,0,,2025-07-09 15:04:27,Google Search API,"VII - manter em arquivo, à disposição da fiscalização da ANEEL, Estudo de Impacto ... (Transferida a autorização para a Mineração Macedo LTDA, pelo DSP SCE/ANEEL ... May 22, 2025 ... ... Impacto Servi"
886166/2021,COOPERATIVA DOS GARIMPEIROS E MINERADORES DO BRASIL,RO,21087.97380300917,,Não,0,,2025-07-09 15:04:27,Google Search API,"Entre os impactos ambientais identificados pelo Ibama na floresta está uma ... milhões à Cooperativa dos Garimpeiros e Mineradores do Brasil (COOGAMIBRA). Sep 30, 2016 ... Impactos ambientais - Public | May 24, 2022 ... ... Terra Indígena Pirititi (RR) vence em julho. ... No final de abril, a Cooperativa dos Garimpeiros e Mineradores do Brasil ... May 4, 2022 ... Pedidos de mineração disparam e já ch | May 24, 2022 ... No final de abril, a Cooperativa dos Garimpeiros e Mineradores do Brasil ... Temas. Povos Indígenas · Comunidades Tradicionais · Política e ... Cooperativa dos Garimpeiros e Minerador"
